        6000
  Built with Packmol                                             
  H            2.425976       17.541589        1.120426
  H            3.594270       16.495908        0.663834
  O            3.304892       17.453106        0.651603
  H            5.283038       28.387402        1.910109
  H            3.778097       28.693677        1.354964
  O            4.747603       28.916021        1.251331
  H           15.555075        3.163502       33.465444
  H           16.556299        1.877974       33.356802
  O           16.500823        2.875596       33.314489
  H           -0.000163       27.123546        8.669505
  H            1.111985       28.222895        9.140032
  O            0.437864       27.992318        8.438238
  H           15.756271       22.653679       10.516803
  H           14.383346       21.970963        9.954832
  O           14.820440       22.832610       10.212960
  H           30.333082       18.987559       26.926705
  H           30.181214       20.537574       26.435560
  O           29.683241       19.701152       26.664773
  H           32.751797       34.400168        9.854924
  H           31.176619       34.822302        9.768602
  O           32.036355       34.767754        9.260669
  H            1.245006       14.076084       34.758186
  H            2.369078       15.227419       34.479392
  O            2.174254       14.378462       34.970750
  H           26.091234       33.022311       23.056541
  H           26.234987       34.457569       23.822183
  O           26.708854       33.783207       23.255787
  H           35.793299        4.911936       25.295743
  H           34.291400        5.123243       24.690363
  O           35.228573        4.850398       24.472691
  H           28.965740       23.216107        7.603946
  H           29.698507       23.971158        6.355031
  O           29.681953       23.866005        7.349409
  H           10.131243       14.948718       28.811863
  H            9.853902       15.971607       30.054287
  O           10.510319       15.331934       29.654219
  H            9.251159       16.765137       10.026332
  H           10.188509       17.928285       10.686101
  O           10.183946       17.009306       10.291673
  H            7.111514       29.940550        4.111008
  H            7.514228       31.471133        3.708548
  O            7.786022       30.667798        4.238547
  H           17.016953       21.712916       14.679621
  H           16.025872       22.132036       13.451235
  O           16.565772       21.389492       13.847786
  H           21.740375        5.340316       21.101460
  H           20.681778        6.088117       22.094939
  O           21.082533        6.089579       21.178691
  H           17.459541       17.199218       37.785096
  H           17.791437       18.746184       37.380647
  O           17.422357       18.149795       38.093541
  H           33.660171       23.428037        2.647070
  H           34.315231       22.716839        1.331043
  O           34.288108       23.553080        1.878841
  H           15.916209       14.916995        2.318185
  H           16.452145       16.458368        2.379663
  O           16.143388       15.678893        2.924829
  H            3.832570       18.259241        7.452868
  H            5.125450       17.709388        8.285309
  O            4.616631       18.526230        8.013297
  H           12.389933        2.667553        6.807285
  H           13.849261        1.989946        6.527920
  O           13.153206        2.172389        7.222427
  H           38.126011        8.956236       15.620263
  H           36.592785        8.507167       15.958478
  O           37.423722        8.920260       16.331326
  H           25.547678       24.182878       28.421709
  H           25.633565       25.776909       28.765987
  O           26.156136       24.974585       28.477343
  H           32.673089        4.396994       15.722869
  H           32.181296        2.839761       15.722160
  O           32.097184        3.722388       16.184775
  H           34.952375       23.284997        7.326985
  H           36.358116       22.582304        6.883194
  O           35.451887       22.865405        6.568996
  H           13.558919       19.765490        9.268018
  H           14.122137       18.713182        8.153447
  O           14.030968       18.894293        9.132735
  H           10.921712       27.943515       15.272355
  H           10.937937       26.353652       15.645060
  O           11.280988       27.047369       15.011664
  H           34.288227       26.468237       35.347798
  H           35.886744       26.658055       35.622659
  O           35.087521       26.087921       35.813206
  H           28.061548       37.081139        6.459746
  H           28.979758       38.166267        5.655864
  O           28.965686       37.505132        6.406078
  H            9.199500       28.351065       13.950427
  H            7.715713       28.926193       14.317090
  O            8.541412       29.083418       13.775222
  H           35.009788       23.055145       37.815076
  H           33.741499       22.171797       37.287841
  O           34.091387       23.099037       37.421719
  H           29.467933       20.415789        7.829603
  H           29.999964       18.999421        7.215046
  O           30.278558       19.863898        7.633593
  H           28.988156       38.153121       37.393414
  H           28.553559       36.704309       36.777860
  O           29.318490       37.329913       36.931543
  H           15.151942       37.259467       32.579756
  H           13.839587       38.223777       32.458654
  O           14.828551       38.205428       32.606067
  H           36.040088       28.653756       36.535055
  H           37.617142       29.063118       36.645332
  O           36.678819       29.402152       36.714059
  H           10.987961       33.865955       22.968646
