../data/water_lmps.data (Built by Packmol)

6000 atoms
2 atom types
0.0          39.152302546132105 xlo xhi
0.0          39.152302546132105 ylo yhi
0.0          39.152302546132105 zlo zhi

Atoms

1  1            2.425976       17.541589        1.120426
2  1            3.594270       16.495908        0.663834
3  2            3.304892       17.453106        0.651603
4  1            5.283038       28.387402        1.910109
5  1            3.778097       28.693677        1.354964
6  2            4.747603       28.916021        1.251331
7  1           15.555075        3.163502       33.465444
8  1           16.556299        1.877974       33.356802
9  2           16.500823        2.875596       33.314489
10  1           -0.000163       27.123546        8.669505
11  1            1.111985       28.222895        9.140032
12  2            0.437864       27.992318        8.438238
13  1           15.756271       22.653679       10.516803
14  1           14.383346       21.970963        9.954832
15  2           14.820440       22.832610       10.212960
16  1           30.333082       18.987559       26.926705
17  1           30.181214       20.537574       26.435560
18  2           29.683241       19.701152       26.664773
19  1           32.751797       34.400168        9.854924
20  1           31.176619       34.822302        9.768602
21  2           32.036355       34.767754        9.260669
22  1            1.245006       14.076084       34.758186
23  1            2.369078       15.227419       34.479392
24  2            2.174254       14.378462       34.970750
25  1           26.091234       33.022311       23.056541
26  1           26.234987       34.457569       23.822183
27  2           26.708854       33.783207       23.255787
28  1           35.793299        4.911936       25.295743
29  1           34.291400        5.123243       24.690363
30  2           35.228573        4.850398       24.472691
31  1           28.965740       23.216107        7.603946
32  1           29.698507       23.971158        6.355031
33  2           29.681953       23.866005        7.349409
34  1           10.131243       14.948718       28.811863
35  1            9.853902       15.971607       30.054287
36  2           10.510319       15.331934       29.654219
37  1            9.251159       16.765137       10.026332
38  1           10.188509       17.928285       10.686101
39  2           10.183946       17.009306       10.291673
40  1            7.111514       29.940550        4.111008
41  1            7.514228       31.471133        3.708548
42  2            7.786022       30.667798        4.238547
43  1           17.016953       21.712916       14.679621
44  1           16.025872       22.132036       13.451235
45  2           16.565772       21.389492       13.847786
46  1           21.740375        5.340316       21.101460
47  1           20.681778        6.088117       22.094939
48  2           21.082533        6.089579       21.178691
49  1           17.459541       17.199218       37.785096
50  1           17.791437       18.746184       37.380647
51  2           17.422357       18.149795       38.093541
52  1           33.660171       23.428037        2.647070
53  1           34.315231       22.716839        1.331043
54  2           34.288108       23.553080        1.878841
55  1           15.916209       14.916995        2.318185
56  1           16.452145       16.458368        2.379663
57  2           16.143388       15.678893        2.924829
58  1            3.832570       18.259241        7.452868
59  1            5.125450       17.709388        8.285309
60  2            4.616631       18.526230        8.013297
61  1           12.389933        2.667553        6.807285
62  1           13.849261        1.989946        6.527920
63  2           13.153206        2.172389        7.222427
64  1           38.126011        8.956236       15.620263
65  1           36.592785        8.507167       15.958478
66  2           37.423722        8.920260       16.331326
67  1           25.547678       24.182878       28.421709
68  1           25.633565       25.776909       28.765987
