LAMMPS data file via write_data, version 7 Aug 2019, timestep = 20083

6000 atoms
2 atom types

0.0000000000000000e+00 3.9152302546132105e+01 xlo xhi
0.0000000000000000e+00 3.9152302546132105e+01 ylo yhi
0.0000000000000000e+00 3.9152302546132105e+01 zlo zhi

Masses

1 1.008
2 15.9994

Atoms # atomic

864 2 2.9178506593850506e-01 2.1974224114594216e+00 2.8449480613317286e+00 0 0 0
2255 1 1.1868173820586609e+00 2.3302574970674330e+00 2.3234337792654189e+00 0 1 1
4449 2 2.5756977456144026e+00 2.9539083522756133e+00 1.0620188832646533e+00 0 0 1
4265 1 2.9585004329505531e+00 3.6076809269519448e+00 1.8057938747563254e+00 0 0 0
5429 1 2.5248326649320569e+00 3.5289891654801080e+00 1.8553998680825565e-01 0 0 1
4028 1 2.6988846373590776e+00 1.7186245100262747e+00 8.0249340952537629e-01 0 1 0
2256 2 2.5863865772229482e+00 4.3496618915491841e-01 5.4284092041256082e-01 0 1 1
862 1 3.8850497073177948e+01 2.4471471268335215e-01 2.4331083189644613e+00 -1 0 0
640 1 5.9338241239056737e+00 2.4930342746933456e+00 1.9506630275466492e+00 0 0 0
642 2 6.5979968188040985e+00 1.9160730584366463e+00 1.4835180807515840e+00 0 0 0
5875 1 6.7053832447982007e+00 2.4180689976364897e+00 5.5756656238644997e-01 0 0 0
641 1 6.6081984525546673e+00 4.4726240013805735e-01 1.0907451406037503e+00 0 0 0
2166 2 5.6576852599286180e+00 3.9515714201627787e+00 3.2086539377310159e+00 0 0 0
2758 1 9.3832461791397321e+00 1.9266429927208204e+00 3.0594646853105991e+00 0 0 0
2759 1 1.0757848031834786e+01 1.6359924461726376e+00 2.1779388436306721e+00 0 0 0
2760 2 1.0366610704503449e+01 2.1597505293918693e+00 3.0589528774472168e+00 0 0 0
182 1 1.0350128757647260e+01 2.0882097775324562e+00 3.4244739093320153e-01 0 0 1
3870 2 1.1247963497375030e+01 8.8553316759316314e-01 9.7594060649781045e-01 0 1 1
1469 1 1.0863226871630715e+01 3.1761139261756637e+00 3.7951428702262127e+00 0 0 0
2937 2 1.4649008368198501e+01 2.7629004562693669e+00 2.3570574065996270e+00 0 0 0
2935 1 1.5119144547510285e+01 2.1140067149048547e+00 2.8883749055508137e+00 0 0 0
5062 1 1.5487380833007046e+01 3.7241372988555361e+00 9.4768838438857683e-01 0 0 1
2693 1 1.4089974396517439e+01 1.7572206347252195e+00 1.0665593857570521e+00 0 0 1
2694 2 1.3945362983133601e+01 1.1022692021539375e+00 2.9548666666768231e-01 0 0 1
3869 1 1.2119645810919481e+01 1.0075500598391010e+00 5.4999622336432352e-01 0 1 1
2297 1 1.4125045527664625e+01 3.4170432847488041e+00 2.9001968219933483e+00 0 1 0
2692 1 1.4378516119296707e+01 1.9751721327125274e-01 3.9278498174155929e-01 0 0 1
3846 2 1.6994477634698917e+01 1.0316412725099284e+00 3.4792057686001194e+00 0 1 0
4216 1 1.8662904581907583e+01 1.0748090706095823e+00 1.1456887243002056e+00 0 1 1
2936 1 1.8896250147580400e+01 3.2974010388087640e+00 1.7156547443884664e+00 0 0 0
429 2 1.9417296067598027e+01 2.8760877264363249e+00 9.5630431025420637e-01 0 0 0
4669 1 1.7483813212221580e+01 5.6353320501368864e-01 2.6619710369768255e+00 0 1 0
